Title,Joy,Love,Anger,Surprise,Sadness,Fear,Protagonist Roles,Time Period,Dominant Time of Day,Genres
Being John Malkovich,0.940946733543208,0.5449469711214237,0.4002853725301064,0.4324196908210679,0.3454300364193868,0.4054211604719521,Realist,Past,Daytime,"['Fantasy', 'Comedy']"
Being There,0.9343493435498288,0.7546674083091169,0.1397511005565995,0.02256010448728,0.0048468441447985,0.1237751197694975,Comedian,Past,Daytime,"['Comedy', 'Drama']"
Belle,0.6597687802410901,0.785297080316351,0.2680038723644885,0.4140352840408126,0.0123002943253749,0.2438571801232052,Realist,Past,Daytime,"['Drama', 'Romance']"
Beloved,0.6933436868293388,0.5991520379264921,0.1688214708229062,0.3692924490634897,0.1547383694600111,0.350724370700707,Realist,Past,Daytime,['Drama']
Big Eyes,0.9233740446333328,0.7742421296866455,0.1682787840765248,0.4167979519398813,0.2638862909789312,0.4693878990319782,Creature/Royalty/Knight/Sorcerer,Past,Daytime,"['Crime', 'Drama']"
Big Fish,0.7124662068807754,0.8009338613607049,0.3135982032726646,0.408190409087604,0.0852210898369084,0.3840076754620137,Fighter,Past,Daytime,"['Comedy', 'Fantasy', 'Drama', 'Adventure']"
Big,0.676957541858038,0.9503442896898708,0.4811211388996128,0.3219409321345236,0.4170646784667142,0.1025449608035072,Realist,Past,Daytime,"['Fantasy', 'Comedy', 'Family']"
Birdman,0.9214965246789336,0.9595450628627435,0.2287398369347759,0.3301080898315962,0.4474251389213624,0.2831337663352956,Superhuman/Scientist/Alien/Robot,Past,Daytime,"['Comedy', 'Drama', 'Romance']"
Birthday Girl,0.607621750827341,0.5865677974170229,0.2404691261037962,0.4556037826065698,0.08891069588216,0.0309336558694235,Comedian,Past,Daytime,"['Crime', 'Comedy', 'Drama', 'Romance']"
Black Panther,0.853018440822543,0.9692351925211656,0.3626123252322913,0.3135201865569364,0.2276728946142127,0.4166427982348789,Law Person/Outlaw,Past,Daytime,"['Action', 'Sci-Fi', 'Adventure']"
Black Rain,0.624527373154715,0.9158500514134088,0.1955208257755102,0.1403041850627035,0.3662975515895644,0.3581609755188189,Traveller/Explorer,Past,Daytime,"['Crime', 'Drama', 'Action']"
Black Snake Moan,0.9356098102506156,0.5659565942561596,0.273529412494475,0.453544129605248,0.2298023771184851,0.0577521678856183,Creature/Royalty/Knight/Sorcerer,Present,Daytime,['Drama']
Black Swan,0.8573703152673833,0.9453226012635748,0.0064801612746218,0.1055806692945502,0.081292526826064,0.1330019965663971,Law Person/Outlaw,Past,Daytime,"['Drama', 'Thriller']"
BlacKkKlansman,0.8176519015122496,0.8691876036446842,0.2654166975445093,0.3900010180483435,0.2802143672484237,0.4331272510761224,Traveller/Explorer,Past,Daytime,"['Crime', 'Drama']"
Blade II,0.2869709365216433,0.1755545330387096,0.1190946997318549,0.1703367368074081,0.9807514322053024,0.8114597365310694,Child,Past,Daytime,"['Horror', 'Action', 'Thriller']"
Blade Runner,0.730436371716904,0.7549087041812383,0.1231161291154024,0.3953235127691344,0.016463335169419,0.2535779905362905,Fighter,Past,Daytime,"['Drama', 'Action', 'Sci-Fi']"
